PRENOTAZIONE_MUDE|PRENOTAZIONE_DATA|CONF_PRENOTAZIONE_MUDE|CONF_PRENOTAZIONE_DATA|RICHIESTA_MUDE|DESC_STATO_ISTANZA|RICHIESTA_DATA|RICHIESTA_COMUNE|LIVELLO_OPERATIVO|TIPO_INTERVENTO|CONTIENE_RURALE_STRUMENTALE|CONCESSIONE_CUP|CONCESSIONE_DATA|SAL_ZERO_MUDE|SAL_ZERO_DATA|SAL_INIZIALE_MUDE|SAL_INIZIALE_DATA|SAL_INT_1_MUDE|SAL_INT_1_DATA|SAL_INT_2_MUDE|SAL_INT_2_DATA|SAL_FINALE_MUDE|SAL_FINALE_DATA|SOL_UNICA_MUDE|SOL_UNICA_DATA|FINE_LAVORI_DATA|GEO_LON|GEO_LAT|GEO_CON
||||0803800400000001082012|ACCETTATA DA PA|02/12/2013|CENTO|B/C|DIRETTO|NO|F31G14000420008|17/04/2014|||0803800400000334572014|26/06/2014|||||0803800400000419502014|02/12/2014||||11,2776818359434|44,7232337959845|0,125
||||0803800400000001502012|ACCETTATA DA PA|30/01/2014|CENTO|B/C|DIRETTO|NO|F35C15000440008|31/03/2015|0803800400000507892015|09/04/2015|0803800400000630252015|06/08/2015|||||0803800400000671072015|15/10/2015||||11,286751968433|44,7280112204745|0,167
||||0803800400000001842012|ACCETTATA DA PA|07/11/2013|CENTO|B/C|DIRETTO|NO|F31G14000320008|03/04/2014|||0803800400000456972015|27/01/2015|||||0803800400000486312015|07/04/2015||||11,2932566242662|44,7954125007056|0
||||0803800400000002042012|ACCETTATA DA PA|17/01/2013|CENTO|B/C|DIRETTO|NO|F37J13000160001|03/04/2013|||||||||||0803800400000053662013|05/09/2013||11,2931600264012|44,7261586518261|0,2
||||0803800400000002182012|ACCETTATA DA PA|07/01/2013|CENTO|B/C|DIRETTO|NO|F37J13000060001|07/03/2013|||0803800400000062432013|25/06/2013|||||0803800400000117732013|15/11/2013||||11,2916592461663|44,7246446224743|0,125
||||0803800400000002352012|ACCETTATA DA PA|16/10/2012|CENTO|B/C|DIRETTO|NO||||||||||||||||11,286751968433|44,7280112204745|0
||||0803800400000002412012|ACCETTATA DA PA|14/03/2013|CENTO|B/C|DIRETTO|NO|F37J13000270008|13/05/2013|||0803800400000092652013|27/09/2013|||||0803800400000156592013|23/01/2014||||11,2841512778368|44,729987201736|0,167
||||0803800400000003182012|ACCETTATA DA PA|17/12/2012||09/07/2015|0803600500000728322015|28/12/2015||||||||||||||0803800400000017162013|24/06/2013||11,2877091210871|44,7286736881311|0,125
||||0803800400000005342012|ACCETTATA DA PA|07/01/2013|CENTO|B/C|DIRETTO|NO|F37J13000010001|25/02/2013|||0803800400000042252013|07/05/2013|||||0803800400000071932013|27/08/2013||||11,2911281773769|44,7270357957841|0,167||||0803800400000005472012|ACCETTATA DA PA|02/12/2013|CENTO|B/C|DIRETTO|NO|F35C14000540001|08/08/2014|||||||||||0803800400000418682014|17/11/2014||11,2906649474116|44,723792523786|0,167
||||0803800400000005522012|ACCETTATA DA PA|27/02/2013|CENTO|B/C|DIRETTO|NO|F37J13000150008|02/04/2013|||||||||||0803800400000054782013|21/06/2013||11,2776818359434|44,7232337959845|0,667
||||0803800400000005602012|ACCETTATA DA PA|30/05/2013|CENTO|B/C|DIRETTO|NO||||||||||||||||11,2888934|44,7298932|999
||||0803800400000005682012|ACCETTATA DA PA|11/02/2013|CENTO|B/C|DIRETTO|NO|F37J13000090008|15/03/2013|||||||||||0803800400000174292014|23/01/2014||11,2850624549664|44,7276226472503|0,333
||||0803800400000005932012|ACCETTATA DA PA|29/04/2013|CENTO|B/C|DIRETTO|NO|F32F13000100001|20/06/2013|||||||||||0803800400000150372013|23/12/2013||11,3397915219714|44,8052512891309|0,333
||||0803800400000006422012|ACCETTATA DA PA|11/04/2013|CENTO|B/C|DIRETTO|NO|F32F13000070008|10/06/2013|||||||||||0803800400000073042013|26/07/2013||11,2882940620425|44,7278375799013|0,125
||||0803800400000007102012|ACCETTATA DA PA|07/01/2013|CENTO|B/C|DIRETTO|NO|F37J13000020001|25/02/2013|||||||||||0803800400000076732013|27/08/2013||11,2926175657368|44,7295312022403|0,167
||||0803800400000007242012|ACCETTATA DA PA|21/03/2013|CENTO|B/C|DIRETTO|NO|F37J13000310008|22/05/2013|||0803800400000129522013|28/11/2013|||||0803800400000299672014|23/07/2014||||11,2776818359434|44,7232337959845|0,125
||||0803800400000007252012|ACCETTATA DA PA|30/10/2013|CENTO|B/C|DIRETTO|NO|F35C14000160008|10/06/2014|||0803800400000466332015|05/02/2015|||||0803800400000496252015|30/03/2015||||11,2840675894653|44,7723847013346|0,2
||||0803800400000008122012|ACCETTATA DA PA|15/07/2013|CENTO|B/C|DIRETTO|NO|F32F13001030001|16/12/2013|||||||||||0803800400000194842014|23/01/2014||11,2871379382964|44,718342250287|0,3
||||0803800400000008522012|ACCETTATA DA PA|08/03/2013|CENTO|B/C|DIRETTO|NO|F32F14000170008|31/01/2014|||0803800400000243282014|31/03/2014|||||0803800400000360352014|01/09/2014||||11,2776818359434|44,7232337959845|0,125
||||0803800400000008652012|ACCETTATA DA PA|20/12/2012|CENTO|B/C|DIRETTO|NO|F37J13000050008|07/03/2013|||||||||||0803800400000018542013|15/04/2013||11,2904231495119|44,7251065921289|0,167
||||0803800400000008832012|ACCETTATA DA PA|04/02/2014|CENTO|B/C|DIRETTO|NO|F35C14000330001|10/07/2014|0803800400000353542014|23/07/2014|0803800400000476592015|19/02/2015|||||0803800400000514882015|16/04/2015||||11,3102551890246|44,8086692577934|0
||||0803800400000009122012|ACCETTATA DA PA|15/04/2013|CENTO|B/C|DIRETTO|NO|F32F13000140008|27/06/2013|||||||||||0803800400000073652013|24/07/2013||11,274732507468|44,7322976546134|0
||||0803800400000009202012|ACCETTATA DA PA|13/06/2013|CENTO|B/C|DIRETTO|NO|F32F13000430001|13/08/2013|||||||||||0803800400000290172014|31/07/2014||11,3664153188651|44,8369070074011|0,333
||||0803800400000010162012|ACCETTATA DA PA|30/04/2013|CENTO|B/C|DIRETTO|NO|F32F13000600008|03/09/2013|||0803800400000255942014|18/03/2014|||||0803800400000354942014|29/07/2014||||11,2841512778368|44,729987201736|0,167
||||0803800400000010482012|ACCETTATA DA PA|03/06/2013|CENTO|B/C|DIRETTO|NO|F32F14000250008|07/02/2014|||||||||||0803800400000237262014|20/02/2014||11,2907698155695|44,7288748642003|0,167
||||0803800400000011292012|ACCETTATA DA PA|26/02/2013|CENTO|B/C|DIRETTO|NO|F32F13000580008|03/09/2013|||||||||||0803800400000122842013|22/11/2013||11,3572882301059|44,8286179847476|0,333
||||0803800400000011562012|ACCETTATA DA PA|11/03/2013|CENTO|B/C|DIRETTO|NO|F37J13000120008|28/03/2013|||||||||||0803800400000055382013|23/07/2013||11,2903155304094|44,7274294646699|0
||||0803800400000013242013|ACCETTATA DA PA|11/01/2013|CENTO|B/C|DIRETTO|NO|F37J13000070008|07/03/2013|||||||||||0803800400000036302013|18/04/2013||11,286751968433|44,7280112204745|0,167
||||0803800400000014692013|ACCETTATA DA PA|04/06/2013|CENTO|B/C|DIRETTO|NO|F32F13000330008|24/07/2013|||||||||||0803800400000121422013|22/11/2013||11,2875898327132|44,7202516476107|0,75
||||0803800400000015112013|ACCETTATA DA PA|14/05/2013|CENTO|B/C|DIRETTO|NO|F35C14000510008|05/08/2014|||||||||||0803800400000339242014|31/10/2014||11,2773487897767|44,788234897332|0,1
||||0803800400000015882013|ACCETTATA DA PA|12/12/2013|CENTO|B/C|DIRETTO|NO|F35C14000360001|11/07/2014|||0803800400000352682014|18/08/2014|||||0803800400000421352014|09/12/2014||||11,361457034477|44,8361394665359|0
||||0803800400000016042013|ACCETTATA DA PA|28/01/2014|CENTO|B/C|DIRETTO|NO|F35C14001260008|19/11/2014|||||||||||0803800400000425112014|25/11/2014||11,2887665|44,7299436|999
||||0803800400000016182013|ACCETTATA DA PA|23/05/2013|CENTO|B/C|DIRETTO|NO|F32F13000310008|18/07/2013|||||||||||0803800400000259652014|23/04/2014||11,2878469739902|44,7240380861465|0,267
||||0803800400000017212013|ACCETTATA DA PA|19/03/2013|CENTO|B/C|DIRETTO|NO|F37J13000140001|29/03/2013|||||||||||0803800400000047192013|09/08/2013||11,2674302725165|44,7408797526312|0,333
||||0803800400000017902013|ACCETTATA DA PA|28/03/2013|CENTO|B/C|DIRETTO|NO|F37J13000340008|28/05/2013|||||||||||0803800400000082672013|22/08/2013||11,286751968433|44,7280112204745|0,667
||||0803800400000020192013|ACCETTATA DA PA|20/05/2013|CENTO|B/C|DIRETTO|NO|F32F13000370001|08/08/2013|||0803800400000088992013|26/09/2013|||||0803800400000141822013|05/03/2014||||11,2808603190786|44,737709515542|0
||||0803800400000021432013|ACCETTATA DA PA|20/05/2013|CENTO|B/C|DIRETTO|NO|F32F13000240008|11/07/2013|||||||||||0803800400000084062013|26/08/2013||11,3094185883787|44,8050624371576|0,333
||||0803800400000023162013|ACCETTATA DA PA|04/02/2014|CENTO|B/C|DIRETTO|NO|F35C14000860001|30/09/2014|||0803800400000393952014|28/11/2014|||||0803800400000670562015|02/10/2015||||11,2840470025682|44,7655830664384|0,25
||||0803800400000023242013|ACCETTATA DA PA|05/03/2013|CENTO|B/C|DIRETTO|NO||||||||||||||||11,2699761537654|44,7677100017604|0
||||0803800400000023812013|ACCETTATA DA PA|21/01/2014|CENTO|B/C|DIRETTO|NO|F35C15000530008|13/04/2015|||0803800400000691332015|22/12/2015|||||0803800400000818822016|15/04/2016||||11,2838783400795|44,7257325521603|0,1
||||0803800400000025012013|ACCETTATA DA PA|18/04/2013|CENTO|B/C|DIRETTO|NO|F32F13000270008|12/07/2013|||||||||||0803800400000095042013|20/09/2013||11,2882940620425|44,7278375799013|0,125
||||0803800400000026932013|ACCETTATA DA PA|28/03/2013|CENTO|B/C|DIRETTO|NO|F37J13000320008|27/05/2013|||0803800400000056762013|17/06/2013|||||0803800400000157452013|03/07/2014||||11,2903155304094|44,7274294646699|0,1
||||0803800400000027342013|ACCETTATA DA PA|07/06/2013|CENTO|B/C|DIRETTO|NO|F32F13000690008|13/09/2013|||||||||||0803800400000150382013|09/02/2015||11,371836178763|44,8319374169942|0
||||0803800400000028132013|ACCETTATA DA PA|11/06/2014|CENTO|B/C|DIRETTO|NO|F35C14000890008|01/10/2014|0803800400000492992015|19/03/2015|0803800400000497422015|14/05/2015|||||0803800400000652542015|01/10/2015||||11,3381225999491|44,8297669644056|0
||||0803800400000030232013|ACCETTATA DA PA|28/01/2014|CENTO|B/C|DIRETTO|NO|F31G14000280008|26/03/2014|||||||||||0803800400000272752014|31/03/2014||11,2873294997938|44,7302797483471|0,167
||||0803800400000030362013|ACCETTATA DA PA|28/01/2014|CENTO|B/C|DIRETTO|NO|F31G14000270008|24/03/2014|||||||||||0803800400000272422014|31/03/2014||11,2873294997938|44,7302797483471|0,167
||||0803800400000031052013|ACCETTATA DA PA|29/04/2013|CENTO|B/C|DIRETTO|NO||||||||||||||||11,3086737198704|44,801385080281|0,2
||||0803800400000031962013|ACCETTATA DA PA|12/04/2013|CENTO|B/C|DIRETTO|NO|F32F13000090008|19/06/2013|||||||||||0803800400000081362013|10/09/2013||11,2916592461663|44,7246446224743|0,125
||||0803800400000032052013|ACCETTATA DA PA|20/06/2013|CENTO|B/C|DIRETTO|NO|F32F14000130001|28/01/2014|||||||||||0803800400000296012014|27/06/2014||11,2916592461663|44,7246446224743|0,167
||||0803800400000032922013|ACCETTATA DA PA|25/06/2013|CENTO|B/C|DIRETTO|NO|F32F13000590001|03/09/2013|||||||||||0803800400000097702013|26/09/2013||11,2689567727003|44,7296379144801|0,5
||||0803800400000034042013|ACCETTATA DA PA|24/04/2013|CENTO|B/C|DIRETTO|NO|F37J13000350008|28/05/2013|||0803800400000067772013|17/07/2013|||||0803800400000086042013|18/09/2013||||11,3183569897528|44,8106737204372|0,333
||||0803800400000034672013|ACCETTATA DA PA|07/05/2013|CENTO|B/C|DIRETTO|NO|F32F13000660008|11/09/2013|||0803800400000100642013|17/10/2013|||||0803800400000368422014|31/10/2014||||11,2882940620425|44,7278375799013|0,125
||||0803800400000035242013|ACCETTATA DA PA|25/06/2013|CENTO|B/C|DIRETTO|NO|F35C15000230001|12/02/2015|||||||||||0803800400000501362015|12/05/2015||11,3224504500722|44,7542276904801|0
||||0803800400000035742013|ACCETTATA DA PA|26/11/2013|CENTO|B/C|DIRETTO|NO|F31G14000080001|25/02/2014|||||||||||0803800400000310882014|24/06/2014||11,3675892696321|44,8347553055509|0
||||0803800400000035972013|ACCETTATA DA PA|18/11/2013|CENTO|B/C|DIRETTO|NO|F31G14000350008|08/04/2014|||||||||||0803800400000308092014|23/05/2014||11,3664153188651|44,8369070074011|0,333
||||0803800400000037012013|ACCETTATA DA PA|12/07/2013|CENTO|B/C|DIRETTO|NO|F32F13000640008|06/09/2013|||0803800400000256242014|18/03/2014|||||0803800400000290332014|22/04/2014||||11,2750655253263|44,7690251709154|0,333
||||0803800400000037262013|ACCETTATA DA PA|20/06/2014|CENTO|B/C|DIRETTO|NO|F35C14001310008|11/12/2014|0803800400000471752015|12/02/2015|0803800400000641872015|14/08/2015|||||0803800400000704542015|28/01/2016||||11,2903155304094|44,7274294646699|0
||||0803800400000037432013|ACCETTATA DA PA|06/08/2013|CENTO|B/C|DIRETTO|NO|F32F13000400008|09/08/2013|||||||||||0803800400000116272013|22/11/2013||11,2838783400795|44,7257325521603|0,1
||||0803800400000037632013|ACCETTATA DA PA|21/01/2014|CENTO|B/C|DIRETTO|NO|F35C14000200008|19/06/2014|||0803800400000337882014|17/07/2014|||||0803800400000547882015|11/06/2015||||11,2840470025682|44,7655830664384|0,125
||||0803800400000039122013|ACCETTATA DA PA|21/01/2014|CENTO|B/C|DIRETTO|NO|F35C14001200008|17/11/2014|||0803800400000516422015|16/04/2015|||||0803800400000782832016|01/04/2016||||11,2904231495119|44,7251065921289|0,167
||||0803800400000040992013|ACCETTATA DA PA|25/06/2013|CENTO|B/C|DIRETTO|NO|F32F13000610008|04/09/2013|||0803800400000349032014|18/08/2014|||||0803800400000431442014|15/01/2015||||11,3113882273729|44,814231324456|0,333
||||0803800400000043712013|ACCETTATA DA PA|27/11/2013|CENTO|B/C|DIRETTO|NO|F35C15000540008|13/04/2015|||0803800400000707302015|17/11/2015|||||0803800400000724682015|14/12/2015||||11,2882940620425|44,7278375799013|0,125
||||0803800400000045432013|ACCETTATA DA PA|25/10/2013|CENTO|B/C|DIRETTO|NO|F31G14000040008|20/02/2014|||0803800400000343172014|24/07/2014|||||0803800400000433112014|04/03/2015||||11,2904805935333|44,7260681572435|0,167
||||0803800400000046732013|ACCETTATA DA PA|13/05/2013|CENTO|B/C|DIRETTO|NO||||||||||||||||11,2699761537654|44,7677100017604|0
||||0803800400000047662013|ACCETTATA DA PA|06/12/2013|CENTO|B/C|DIRETTO|NO|F32F14000110001|22/01/2014|||||||||||0803800400000247082014|11/03/2014||11,286751968433|44,7280112204745|0,167
||||0803800400000048232013|ACCETTATA DA PA|29/11/2013|CENTO|B/C|DIRETTO|NO|F31G14000300008|03/04/2014|0803800400000223552014|22/05/2014|0803800400000469042015|26/03/2015|||||0803800400000597582015|10/07/2015||||11,2903155304094|44,7274294646699|0
||||0803800400000051422013|ACCETTATA DA PA|30/10/2013|CENTO|B/C|DIRETTO|NO|F32F14000220008|05/02/2014|||0803800400000347572014|24/07/2014|||||0803800400000431122014|11/12/2014||||11,2904231495119|44,7251065921289|0,167
||||0803800400000051812013|ACCETTATA DA PA|21/01/2014|CENTO|B/C|DIRETTO|NO|F35C14000850008|30/09/2014|||||||||||0803800400000469902015|03/09/2015||11,3137416563123|44,8193622520394|0
||||0803800400000053672013|ACCETTATA DA PA|28/01/2014|CENTO|B/C|DIRETTO|NO|F35C14001250008|19/11/2014|||||||||||0803800400000426792014|25/11/2014||11,2889128|44,7298855|999
||||0803800400000054132013|ACCETTATA DA PA|04/11/2013|CENTO|B/C|DIRETTO|NO|F32F14000070008|17/01/2014|||||||||||0803800400000381752014|18/09/2014||11,3572882301059|44,8286179847476|0,333
||||0803800400000054512013|ACCETTATA DA PA|16/09/2013|CENTO|B/C|DIRETTO|NO||||||||||||||||11,2895424012711|44,7792571642346|0
||||0803800400000056342013|ACCETTATA DA PA|18/09/2013|CENTO|B/C|DIRETTO|NO|F32F13001010001|11/12/2013|||||||||||0803800400000150752013|18/12/2013||11,274732507468|44,7322976546134|0
||||0803800400000058372013|ACCETTATA DA PA|04/02/2014|CENTO|B/C|DIRETTO|NO|F35C14000430008|24/07/2014|||0803800400000435712014|24/12/2014|||||0803800400000477672015|10/03/2015||||11,286751968433|44,7280112204745|0,125
||||0803800400000059302013|ACCETTATA DA PA|31/10/2013|CENTO|B/C|DIRETTO|NO|F32F14000200008|05/02/2014|0803800400000236072014|19/02/2014|0803800400000296852014|30/04/2014|||||0803800400000383292014|22/09/2014||||11,3115116992455|44,8122156830852|0
||||0803800400000059692013|ACCETTATA DA PA|04/02/2014|CENTO|B/C|DIRETTO|NO|F35C14000740008|11/09/2014|||||||||||0803800400000510192015|10/04/2015||11,3572882301059|44,8286179847476|0,333
||||0803800400000061292013|ACCETTATA DA PA|23/07/2013|CENTO|B/C|DIRETTO|NO|F32F13000980001|28/11/2013|||0803800400000230732014|14/02/2014|||||0803800400000371742014|18/12/2014||||11,2904231495119|44,7251065921289|0,167
||||0803800400000061602013|ACCETTATA DA PA|28/01/2014|CENTO|B/C|DIRETTO|NO||||||||||||||||11,2882940620425|44,7278375799013|0,125
||||0803800400000062392013|ACCETTATA DA PA|20/06/2014|CENTO|B/C|DIRETTO|NO|F35C15000100008|22/01/2015|||0803800400000599562015|26/06/2015|||||0803800400000668552015|28/01/2016||||11,2901222456474|44,721875286422|0,167
||||0803800400000062852013|ACCETTATA DA PA|15/04/2014|CENTO|B/C|DIRETTO|NO|F35C14001070001|27/10/2014|||0803800400000493852015|10/04/2015|||||0803800400000653772015|08/09/2015||||11,3580247243443|44,8255167559141|0,333
||||0803800400000063402013|ACCETTATA DA PA|17/09/2013|CENTO|B/C|DIRETTO|NO|F32F13000720001|17/09/2013|||||||||||0803800400000097482013|20/09/2013||11,316150186499|44,7608007063334|0
||||0803800400000064252013|ACCETTATA DA PA|18/11/2013|CENTO|B/C|DIRETTO|NO|F31G14000550008|06/05/2014|0803800400000332292014|19/06/2014|||||||||0803800400000485232015|19/03/2015||11,2859683882149|44,7697991223382|0,333
||||0803800400000065162013|ACCETTATA DA PA|30/01/2014|CENTO|B/C|DIRETTO|NO|F31G14000650008|22/05/2014|||||||||||0803800400000320782014|29/05/2014||11,2930357073226|44,7279198822283|0,167
||||0803800400000066542013|ACCETTATA DA PA|02/12/2013|CENTO|B/C|DIRETTO|NO|F32F14000050008|17/01/2014|||||||||||0803800400000253272014|06/05/2014||11,2697397550861|44,7590069384474|0,2
||||0803800400000066942013|ACCETTATA DA PA|04/02/2014|CENTO|B/C|DIRETTO|NO|F35C14000870008|30/09/2014|||0803800400000596382015|18/06/2015|||||0803800400000669892015|02/10/2015||||11,2907698155695|44,7288748642003|0,167
||||0803800400000067052013|ACCETTATA DA PA|18/11/2013|CENTO|B/C|DIRETTO|NO|F35C14000320008|09/07/2014|||||||||||0803800400000428522014|11/12/2014||11,3086060575032|44,803383788445|0
||||0803800400000067412013|ACCETTATA DA PA|29/11/2013|CENTO|B/C|DIRETTO|NO|F35C14000300008|07/07/2014|0803800400000349512014|17/07/2014|0803800400000469052015|03/03/2015|||||0803800400000653492015|01/10/2015||||11,274732507468|44,7322976546134|0
||||0803800400000068022013|ACCETTATA DA PA|02/12/2013|CENTO|B/C|DIRETTO|NO|F35C14000090008|06/06/2014|0803800400000358322014|04/08/2014|0803800400000368262014|22/08/2014|||||0803800400000418032014|11/11/2014||||11,3664153188651|44,8369070074011|0,333
||||0803800400000068882013|ACCETTATA DA PA|20/06/2014|CENTO|B/C|DIRETTO|NO||||||||||||||||11,2952384576631|44,7410048385679|0
||||0803800400000070962013|ACCETTATA DA PA|20/06/2014|CENTO|B/C|DIRETTO|NO|F35C15000770008|11/05/2015|||0803800400000713232015|21/01/2016|||||0803800400000832782016|23/05/2016||||11,2895424012711|44,7792571642346|0
||||0803800400000074642013|ACCETTATA DA PA|20/06/2014|CENTO|B/C|DIRETTO|NO|F35C14000910001|01/10/2014|||||||||||0803800400000441692014|22/01/2015||11,3515067022361|44,7935990316448|0
||||0803800400000079852013|ACCETTATA DA PA|06/11/2013|CENTO|B/C|DIRETTO|NO|F32F14000020008|15/01/2014|||||||||||0803800400000280942014|22/04/2014||11,2930357073226|44,7279198822283|0,125
||||0803800400000085412013|ACCETTATA DA PA|28/01/2014|CENTO|B/C|DIRETTO|NO|F35C14000840008|30/09/2014|0803800400000398212014|04/11/2014|0803800400000471092015|17/02/2015|||||0803800400000539732015|21/05/2015||||11,2916592461663|44,7246446224743|0,167
||||0803800400000088982013|ACCETTATA DA PA|04/02/2014|CENTO|B/C|DIRETTO|NO|F35C14000480001|01/08/2014|||||||||||0803800400000425032014|04/12/2014||11,3572882301059|44,8286179847476|0,333
||||0803800400000098122013|ACCETTATA DA PA|28/01/2014|CENTO|B/C|DIRETTO|NO|F35C15001110008|16/07/2015|||||||||||0803800400000639062015|08/09/2015||11,290056526558|44,7312989046805|0,125
||||0803800400000108472013|ACCETTATA DA PA|28/01/2014|CENTO|B/C|DIRETTO|NO|F35C14000170008|12/06/2014|||||||||||0803800400000406382014|23/10/2014||11,333751163408|44,8288599994589|0
||||0803800400000111052013|ACCETTATA DA PA|20/06/2014|CENTO|B/C|DIRETTO|NO|F35C14000520008|06/08/2014|||0803800400000405292014|24/10/2014|||||0803800400000445762014|09/01/2015||||11,2655144604603|44,7603381301077|0
||||0803800400000111372013|ACCETTATA DA PA|04/02/2014|CENTO|B/C|DIRETTO|NO|F35C14001270008|24/11/2014|0803800400000653852015|10/09/2015|0803800400000659902015|16/09/2015|||||0803800400000735652015|11/01/2016||||11,2940446680335|44,7971005813686|0
||||0803800400000114922013|ACCETTATA DA PA|20/06/2014|CENTO|B/C|DIRETTO|NO|F35C15001030008|09/07/2015|||0803800400000739072015|26/01/2016|||||0803800400000875132016|19/07/2016||||11,3397915219714|44,8052512891309|0,333
||||0803800400000119832013|ACCETTATA DA PA|15/04/2014|CENTO|B/C|DIRETTO|NO|F35C14000880008|01/10/2014|0803800400000403862014|23/10/2014|0803800400000427792014|01/12/2014|||||0803800400000700232015|27/11/2015||||11,3113882273729|44,814231324456|0
||||0803800400000122112013|ACCETTATA DA PA|20/06/2014|CENTO|B/C|DIRETTO|NO|F35C15000780008|14/05/2015|0803800400000581132015|26/05/2015||||||||||||11,2655144604603|44,7603381301077|0
||||0803800400000149872013|ACCETTATA DA PA|20/06/2014|CENTO|B/C|DIRETTO|NO|F35C14001240001|19/11/2014|||||||||||0803800400000593532015|02/07/2015||11,2913718710248|44,7193670794546|0
||||0803601000000000562012|ACCETTATA DA PA|10/01/2013|CONCORDIA SULLA SECCHIA|B/C|DIRETTO|NO|C57J13000000001|07/01/2013|||||||||||0803601000000016212013|03/04/2013||10,9921530342105|44,9091030191365|0,167
||||0803601000000000682012|ACCETTATA DA PA|04/12/2012|CONCORDIA SULLA SECCHIA|B/C|DIRETTO|NO|C57J12000610001|20/12/2012|||0803601000000025212013|06/05/2013|||||0803601000000053562013|01/07/2013||||10,9748587477015|44,8940251918444|0
||||0803601000000001132012|ACCETTATA DA PA|19/08/2013|CONCORDIA SULLA SECCHIA|B/C|DIRETTO|NO|C52F13000240001|19/08/2013|||||||||||0803601000000314162014|04/12/2014||10,9861546407735|44,9045853482902|0,25
||||0803601000000001522012|ACCETTATA DA PA|04/12/2012|CONCORDIA SULLA SECCHIA|B/C|DIRETTO|NO|C57J12000570001|13/12/2012|||0803601000000017182013|18/02/2013|||||0803601000000089332013|03/10/2013||||10,983415861020699|44,9148818832612|0,225
||||0803601000000002032012|ACCETTATA DA PA|09/05/2013|CONCORDIA SULLA SECCHIA|B/C|DIRETTO|NO|C57J13000410008|16/04/2013|||0803601000000147512013|07/01/2014|||||0803601000000326532014|20/06/2014||||10,9840423224421|44,9133265517759|0
||||0803601000000003112012|ACCETTATA DA PA|14/01/2013|CONCORDIA SULLA SECCHIA|B/C|DIRETTO|NO|C57J12000670001|27/12/2012|||0803601000000106562013|23/11/2013|||||||0803601000000184872014|29/01/2014||10,971669449806|44,8971919827238|0
||||0803601000000003572012|ACCETTATA DA PA|20/05/2013|CONCORDIA SULLA SECCHIA|B/C|DIRETTO|NO|C57J13000310008|28/03/2013|||||||||||0803601000000052322013|10/10/2013||10,9845110443079|44,9439960820181|0,167
||||0803601000000003742012|ACCETTATA DA PA|16/01/2013|CONCORDIA SULLA SECCHIA|B/C|DIRETTO|NO|C57J13000030001|10/01/2013|||||||||||0803601000000022212013|06/05/2013||10,9861546407735|44,9045853482902|0
||||0803601000000003782012|ACCETTATA DA PA|14/02/2013|CONCORDIA SULLA SECCHIA|B/C|DIRETTO|NO|C57J13000140001|31/01/2013|||||||||||0803601000000161422013|29/01/2014||10,9828848904871|44,9131469298189|0,833
||||0803601000000003912012|ACCETTATA DA PA|20/05/2013|CONCORDIA SULLA SECCHIA|B/C|DIRETTO|NO|C57J13000300001|28/03/2013|||||||||||0803601000000056442013|28/09/2013||10,9948620713252|44,9219103441139|0
||||0803601000000003922012|ACCETTATA DA PA|29/06/2013|CONCORDIA SULLA SECCHIA|B/C|DIRETTO|NO|C57J13000440008|02/05/2013|||||||||||0803601000000082262013|21/10/2013||10,968559|44,932518|999
||||0803601000000003942012|ACCETTATA DA PA|16/01/2013|CONCORDIA SULLA SECCHIA|B/C|DIRETTO|NO|C57J12000650001|27/12/2012|||||||||||0803601000000030832013|13/06/2013||10,9868794704136|44,9199227846772|0
||||0803601000000004152012|ACCETTATA DA PA|31/01/2013|CONCORDIA SULLA SECCHIA|B/C|DIRETTO|NO|C57J13000100001|28/01/2013|||||||||||0803601000000041122013|30/05/2013||10,9948620713252|44,9219103441139|0
||||0803601000000004732012|ACCETTATA DA PA|04/02/2013|CONCORDIA SULLA SECCHIA|B/C|DIRETTO|NO|C57J13000110001|28/01/2013|||||||||||0803601000000035662013|13/06/2013||10,9833387530699|44,9144173016726|0,267
||||0803601000000005002012|ACCETTATA DA PA|14/02/2013|CONCORDIA SULLA SECCHIA|B/C|DIRETTO|NO|C57J13000130001|30/01/2013|||||||||||0803601000000021842013|03/04/2013||10,9808766908215|44,9132779922527|0
||||0803601000000005162012|ACCETTATA DA PA|16/11/2013|CONCORDIA SULLA SECCHIA|B/C|DIRETTO|NO|C52F13000810008|16/11/2013|||||||||||0803601000000237012014|05/03/2014||10,9861546407735|44,9045853482902|0
||||0803601000000006882012|ACCETTATA DA PA|29/06/2013|CONCORDIA SULLA SECCHIA|B/C|DIRETTO|NO|C52F13000130001|29/06/2013|||||||||||0803601000000115612013|10/12/2013||10,9748587477015|44,8940251918444|0
||||0803601000000007822012|ACCETTATA DA PA|14/02/2013|CONCORDIA SULLA SECCHIA|B/C|DIRETTO|NO|C57J13000080001|16/01/2013|||||||||||0803601000000027412013|07/05/2013||10,9828848904871|44,9131469298189|0,167
||||0803601000000008252012|ACCETTATA DA PA|14/02/2013|CONCORDIA SULLA SECCHIA|B/C|DIRETTO|NO|C57J13000120001|30/01/2013|||0803601000000025422013|27/09/2013|||||0803601000000153842013|15/03/2014||||10,9948620713252|44,9219103441139|0
||||0803601000000008262012|ACCETTATA DA PA|16/01/2013|CONCORDIA SULLA SECCHIA|B/C|DIRETTO|NO|C57J13000020001|09/01/2013|||||||||||0803601000000056732013|28/09/2013||10,9688358034891|44,9242395013115|0
